round_epochs,val_loss,loss,activation,batch_size,epochs,first_lstm,layers,loss_f,optimizer
1,0.02429291480513983,0.03960439213141035,tanh,32,1,100,2,mae,nadam
1,0.02073582518022676,0.03326210683039828,tanh,32,1,20,1,mae,adam
1,0.027487341446757164,0.03957708125623274,tanh,32,1,5,1,mae,nadam
1,0.023965874424005138,0.038238421472107154,relu,32,1,100,2,mae,adamax
1,0.001161557817705728,0.005069358372472345,tanh,32,1,50,4,mse,adam
1,0.03282095857805021,0.04062741468706536,relu,32,1,50,1,mae,rmsprop
1,0.0277885966865408,0.06353176962021818,tanh,32,1,5,4,mae,adam
1,0.02441444529128392,0.04351395407662087,relu,32,1,100,3,mae,adam
1,0.03501106215696774,0.04974955054789865,relu,32,1,5,1,mae,adamax
1,0.044354723425708745,0.04730377403229392,relu,32,1,100,4,mae,nadam
1,0.00246808382451934,0.006916590607278084,relu,32,1,20,2,mse,adamax
1,0.034743168560082166,0.03945175186268298,tanh,32,1,50,2,mae,nadam
1,0.024285307943342504,0.03619550009225977,tanh,32,1,100,3,mae,adam
1,0.0016177154538022172,0.004484562711874396,tanh,32,1,5,2,mse,nadam
1,0.0026133225232923035,0.0029041008517872594,tanh,32,1,100,2,mse,nadam
1,0.028823803469733844,0.03663743720798712,tanh,32,1,50,1,mae,nadam
1,0.001765670693437378,0.004479804818370039,relu,32,1,20,2,mse,rmsprop
1,0.026778698571885643,0.04007840556678434,relu,32,1,50,2,mae,nadam
1,0.0019516563491544041,0.0036092908403689505,relu,32,1,100,3,mse,nadam
1,0.04292912323721915,0.04355889182277406,tanh,32,1,20,2,mae,rmsprop
1,0.043744095574779554,0.040240371778315735,tanh,32,1,50,1,mae,rmsprop
1,0.024124762332944312,0.036747296305107716,tanh,32,1,20,1,mae,adamax
1,0.020556080969145744,0.036437700776190594,tanh,32,1,50,2,mae,adam
1,0.0012968068846619843,0.006750947974091925,relu,32,1,50,4,mse,adam
1,0.0017761899615560447,0.003430744901536864,relu,32,1,100,2,mse,nadam
1,0.026421969372465937,0.03986105294257597,relu,32,1,50,1,mae,adamax
1,0.03049667491992667,0.04891961272906613,relu,32,1,50,3,mae,rmsprop
1,0.04323197857653435,0.04291949183665362,tanh,32,1,100,3,mae,nadam
1,0.03463556638902685,0.04385931789958355,relu,32,1,100,2,mae,rmsprop
1,0.0025231037861390185,0.014192884313107538,relu,32,1,5,3,mse,adam
1,0.0009262205984771573,0.002696523308284834,tanh,32,1,100,1,mse,nadam
1,0.00136063264100173,0.0027644142462374625,relu,32,1,50,1,mse,adamax
1,0.0031333563121033335,0.004566885552838625,tanh,32,1,50,4,mse,rmsprop
1,0.02509884931537412,0.04436730460158765,tanh,32,1,100,4,mae,nadam
1,0.031073176658098136,0.03950886654567741,tanh,32,1,50,3,mae,adamax
1,0.03585267627086879,0.055084931025870025,relu,32,1,5,3,mae,rmsprop
1,0.001496838549046569,0.0049121099736850506,relu,32,1,50,3,mse,rmsprop
1,0.027170554602956993,0.03686799375585108,tanh,32,1,100,3,mae,adamax
1,0.0013981041742231418,0.004562655543046591,tanh,32,1,100,4,mse,rmsprop
1,0.0018394091300332678,0.006593141115380352,tanh,32,1,5,2,mse,adamax
1,0.001023020867439696,0.004189126823832631,relu,32,1,50,2,mse,adam
1,0.0011137391875935133,0.0040583174065786575,tanh,32,1,100,4,mse,adam
1,0.002358963175188478,0.00945811957221579,relu,32,1,50,4,mse,adamax
1,0.0032263560704359675,0.013843942946491404,relu,32,1,5,4,mse,adam
1,0.0014997057962563025,0.004336646238163128,tanh,32,1,20,2,mse,adamax
1,0.0008348704089580185,0.0033799573908671076,tanh,32,1,100,3,mse,adam
1,0.002810286403345247,0.010356887543204223,relu,32,1,20,4,mse,adamax
1,0.037807719549852736,0.03797252851507982,relu,32,1,100,1,mae,nadam
1,0.03186006184760206,0.05187702534194317,relu,32,1,5,1,mae,adam
1,0.001052766555568489,0.004133508583280811,relu,32,1,50,3,mse,nadam
1,0.0009528624633957451,0.0030302434165411754,tanh,32,1,50,2,mse,adamax
1,0.0009081078386174245,0.005011336999429556,relu,32,1,100,3,mse,adam
1,0.031873361681665505,0.06675085431737313,tanh,32,1,5,4,mae,adamax
1,0.0012029385402520082,0.005677710116154341,relu,32,1,50,3,mse,adam
1,0.02596196064817588,0.04320503406990441,tanh,32,1,20,2,mae,adamax
1,0.003531433486690124,0.004996795921134246,relu,32,1,100,3,mse,rmsprop
1,0.020209101258128265,0.032357856211880046,tanh,32,1,100,2,mae,adamax
1,0.023190130401335038,0.033868922374149624,relu,32,1,50,1,mae,adam
1,0.04291668366349645,0.04749445639120177,tanh,32,1,5,4,mae,nadam
1,0.027081416237565804,0.044871920237364554,relu,32,1,100,3,mae,adamax
1,0.0010306266212995654,0.00662469088413448,tanh,32,1,5,4,mse,nadam
1,0.02341339221900155,0.03786728833332477,tanh,32,1,100,4,mae,adam
1,0.0009942333438061098,0.002419497529543825,tanh,32,1,100,1,mse,adam
1,0.0013191371426862922,0.006536580318916382,relu,32,1,20,2,mse,adam
