"","datetime","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"dtime","2004-1-1 1:00:00",46,38,44,45,42,44,45,43,41,42,36
"dtime.1","2004-1-1 2:00:00",46,36,42,43,42,43,44,44,39,43,32
"dtime.2","2004-1-1 3:00:00",45,35,40,41,40,42,41,42,36,43,31
"dtime.3","2004-1-1 4:00:00",41,30,36,37,39,38,40,34,35,39,30
"dtime.4","2004-1-1 5:00:00",39,30,34,33,40,38,35,30,33,35,34
"dtime.5","2004-1-1 6:00:00",35,29,32,32,41,37,35,35,36,35,35
"dtime.6","2004-1-1 7:00:00",33,28,30,30,38,36,33,34,32,33,32
"dtime.7","2004-1-1 8:00:00",33,28,30,29,33,36,30,33,31,33,30
"dtime.8","2004-1-1 9:00:00",36,28,30,30,36,38,31,34,31,35,28
"dtime.9","2004-1-1 10:00:00",47,33,32,41,43,44,39,41,35,42,30
"dtime.10","2004-1-1 11:00:00",53,42,44,49,47,52,44,48,40,51,35
"dtime.11","2004-1-1 12:00:00",54,47,49,54,50,55,51,54,47,55,41
"dtime.12","2004-1-1 13:00:00",55,52,51,58,51,58,55,58,52,59,47
"dtime.13","2004-1-1 14:00:00",55,54,52,59,51,60,56,60,55,60,51
"dtime.14","2004-1-1 15:00:00",55,55,52,60,52,60,59,61,56,61,53
"dtime.15","2004-1-1 16:00:00",55,56,52,60,51,60,60,62,56,62,54
"dtime.16","2004-1-1 17:00:00",52,56,51,57,50,59,56,60,55,59,54
"dtime.17","2004-1-1 18:00:00",46,52,48,51,47,53,51,53,48,53,53
"dtime.18","2004-1-1 19:00:00",40,47,45,46,39,46,46,43,44,46,50
"dtime.19","2004-1-1 20:00:00",40,46,35,43,39,44,42,37,38,43,50
"dtime.20","2004-1-1 21:00:00",39,46,34,40,34,45,40,36,37,44,48
"dtime.21","2004-1-1 22:00:00",38,45,30,37,33,43,38,36,37,42,47
"dtime.22","2004-1-1 23:00:00",40,46,30,39,31,43,41,43,37,44,45
"dtime.23","2004-1-1 24:00:00",41,46,30,42,33,45,41,44,38,46,41
"dtime.24","2004-1-2 1:00:00",43,45,32,42,36,46,41,45,40,47,40
"dtime.25","2004-1-2 2:00:00",44,44,33,44,36,47,42,46,41,48,39
"dtime.26","2004-1-2 3:00:00",46,44,35,45,40,47,43,46,42,48,42
"dtime.27","2004-1-2 4:00:00",46,45,39,45,42,46,45,46,44,48,42
"dtime.28","2004-1-2 5:00:00",47,45,41,46,42,47,46,46,44,47,45
"dtime.29","2004-1-2 6:00:00",47,44,42,46,43,45,46,45,44,46,46
"dtime.30","2004-1-2 7:00:00",47,43,42,48,45,44,47,46,44,47,46
"dtime.31","2004-1-2 8:00:00",47,43,43,48,44,44,45,48,41,46,47
"dtime.32","2004-1-2 9:00:00",47,46,43,49,43,46,43,47,43,46,47
"dtime.33","2004-1-2 10:00:00",47,48,43,50,42,48,44,46,43,47,47
"dtime.34","2004-1-2 11:00:00",47,48,44,53,44,49,46,47,45,49,50
"dtime.35","2004-1-2 12:00:00",49,50,44,55,44,52,48,53,45,52,51
"dtime.36","2004-1-2 13:00:00",52,51,45,57,45,54,50,51,48,53,52
"dtime.37","2004-1-2 14:00:00",56,52,46,58,47,56,53,52,52,55,54
"dtime.38","2004-1-2 15:00:00",54,53,47,60,48,59,54,54,54,58,55
"dtime.39","2004-1-2 16:00:00",56,55,49,62,49,61,55,57,55,58,57
"dtime.40","2004-1-2 17:00:00",57,56,49,61,49,60,55,58,56,58,59
"dtime.41","2004-1-2 18:00:00",53,54,47,54,46,58,52,52,53,56,56
"dtime.42","2004-1-2 19:00:00",50,53,45,50,42,55,49,47,47,52,53
"dtime.43","2004-1-2 20:00:00",47,52,42,46,42,53,47,44,49,50,53
"dtime.44","2004-1-2 21:00:00",46,51,41,48,42,51,45,42,45,48,51
"dtime.45","2004-1-2 22:00:00",45,49,41,48,41,49,46,43,44,47,46
"dtime.46","2004-1-2 23:00:00",45,51,41,48,42,50,45,43,45,48,50
"dtime.47","2004-1-2 24:00:00",45,50,38,48,39,50,45,47,44,49,50
"dtime.48","2004-1-3 1:00:00",45,47,41,48,41,47,45,47,45,48,50
"dtime.49","2004-1-3 2:00:00",46,50,40,48,41,50,46,47,45,49,53
"dtime.50","2004-1-3 3:00:00",46,49,42,47,43,48,44,42,45,46,52
"dtime.51","2004-1-3 4:00:00",44,50,42,49,43,47,44,41,45,46,52
"dtime.52","2004-1-3 5:00:00",43,48,43,49,45,44,44,42,45,44,54
"dtime.53","2004-1-3 6:00:00",46,46,45,49,45,42,43,41,45,41,55
"dtime.54","2004-1-3 7:00:00",46,50,41,49,46,44,42,41,45,43,56
"dtime.55","2004-1-3 8:00:00",47,48,45,49,45,42,42,47,45,44,56
"dtime.56","2004-1-3 9:00:00",51,50,46,50,45,44,45,48,46,46,54
"dtime.57","2004-1-3 10:00:00",55,52,48,53,49,51,50,53,49,51,57
"dtime.58","2004-1-3 11:00:00",56,57,51,59,52,57,56,58,56,58,62
"dtime.59","2004-1-3 12:00:00",59,62,53,63,57,62,62,63,62,63,65
"dtime.60","2004-1-3 13:00:00",65,65,58,70,62,68,69,69,66,68,67
"dtime.61","2004-1-3 14:00:00",68,68,62,72,65,71,71,72,69,71,69
"dtime.62","2004-1-3 15:00:00",69,69,66,73,67,72,73,73,71,73,70
"dtime.63","2004-1-3 16:00:00",68,69,68,73,67,72,73,73,72,73,70
"dtime.64","2004-1-3 17:00:00",68,68,63,72,63,71,73,72,71,72,70
"dtime.65","2004-1-3 18:00:00",65,65,64,68,61,66,68,68,69,67,70
"dtime.66","2004-1-3 19:00:00",64,63,59,65,58,63,64,64,66,64,68
"dtime.67","2004-1-3 20:00:00",63,62,58,63,56,62,65,63,65,62,65
"dtime.68","2004-1-3 21:00:00",62,60,59,62,58,60,65,61,64,61,63
"dtime.69","2004-1-3 22:00:00",63,60,59,62,60,60,63,61,62,61,64
"dtime.70","2004-1-3 23:00:00",63,61,59,62,59,58,63,61,62,60,64
"dtime.71","2004-1-3 24:00:00",62,60,58,62,59,60,63,61,61,61,62
"dtime.72","2004-1-4 1:00:00",63,61,57,62,58,61,63,61,61,62,62
"dtime.73","2004-1-4 2:00:00",62,59,58,62,57,60,62,61,61,61,62
"dtime.74","2004-1-4 3:00:00",62,59,58,61,58,60,62,60,62,61,63
"dtime.75","2004-1-4 4:00:00",62,60,58,61,58,60,61,60,62,61,64
"dtime.76","2004-1-4 5:00:00",60,59,56,61,59,60,61,60,61,61,63
"dtime.77","2004-1-4 6:00:00",60,60,55,61,59,60,61,60,61,61,63
"dtime.78","2004-1-4 7:00:00",60,59,55,61,58,60,61,60,61,60,63
"dtime.79","2004-1-4 8:00:00",62,58,55,61,58,58,62,60,61,60,62
"dtime.80","2004-1-4 9:00:00",60,59,55,61,57,59,62,60,61,60,62
"dtime.81","2004-1-4 10:00:00",64,59,56,63,59,60,63,63,61,62,64
"dtime.82","2004-1-4 11:00:00",64,63,58,65,62,64,64,65,62,64,66
"dtime.83","2004-1-4 12:00:00",66,63,60,70,63,67,68,69,66,68,69
"dtime.84","2004-1-4 13:00:00",71,65,63,73,66,68,70,71,69,69,69
"dtime.85","2004-1-4 14:00:00",70,65,65,76,65,68,72,73,70,69,69
"dtime.86","2004-1-4 15:00:00",71,65,65,74,65,69,72,73,69,70,68
"dtime.87","2004-1-4 16:00:00",72,65,64,74,65,69,73,73,69,70,66
"dtime.88","2004-1-4 17:00:00",71,66,62,72,64,69,70,72,67,70,67
"dtime.89","2004-1-4 18:00:00",68,65,61,71,56,67,70,70,66,69,65
"dtime.90","2004-1-4 19:00:00",67,64,59,68,51,65,68,66,64,66,63
"dtime.91","2004-1-4 20:00:00",67,62,56,66,49,62,66,66,63,64,62
"dtime.92","2004-1-4 21:00:00",65,61,55,64,48,60,60,64,60,63,61
"dtime.93","2004-1-4 22:00:00",64,61,48,63,48,62,59,63,52,63,61
"dtime.94","2004-1-4 23:00:00",65,62,48,64,47,63,59,63,52,64,61
"dtime.95","2004-1-4 24:00:00",64,62,47,65,46,63,58,63,50,64,60
"dtime.96","2004-1-5 1:00:00",64,63,47,66,46,64,56,64,48,64,62
"dtime.97","2004-1-5 2:00:00",63,62,45,66,45,63,56,62,48,64,62
"dtime.98","2004-1-5 3:00:00",65,62,45,65,44,63,56,62,48,63,62
"dtime.99","2004-1-5 4:00:00",64,63,45,65,44,63,56,62,48,63,63
"dtime.100","2004-1-5 5:00:00",64,62,47,65,44,63,55,63,49,64,61
"dtime.101","2004-1-5 6:00:00",64,60,55,65,44,64,54,63,48,64,59
"dtime.102","2004-1-5 7:00:00",64,60,54,65,44,65,53,63,47,64,58
"dtime.103","2004-1-5 8:00:00",64,60,55,65,44,65,54,64,47,65,58
"dtime.104","2004-1-5 9:00:00",65,58,53,65,44,64,54,64,47,64,49
"dtime.105","2004-1-5 10:00:00",66,58,55,69,44,65,54,65,47,65,48
"dtime.106","2004-1-5 11:00:00",66,57,55,70,45,66,54,65,47,66,47
"dtime.107","2004-1-5 12:00:00",67,57,53,71,46,66,52,67,46,65,49
"dtime.108","2004-1-5 13:00:00",68,56,53,71,46,65,53,67,47,64,51
"dtime.109","2004-1-5 14:00:00",68,56,54,70,46,65,54,66,47,64,53
"dtime.110","2004-1-5 15:00:00",66,54,48,71,47,66,54,66,48,65,52
"dtime.111","2004-1-5 16:00:00",66,52,49,71,47,66,54,66,49,65,52
"dtime.112","2004-1-5 17:00:00",66,51,52,72,48,63,54,66,49,61,52
"dtime.113","2004-1-5 18:00:00",66,50,51,70,47,60,54,62,49,60,50
"dtime.114","2004-1-5 19:00:00",63,49,48,64,46,59,53,61,48,59,50
"dtime.115","2004-1-5 20:00:00",54,46,47,63,46,57,52,61,47,57,45
"dtime.116","2004-1-5 21:00:00",52,44,46,61,46,56,49,59,46,56,43
"dtime.117","2004-1-5 22:00:00",49,41,46,61,45,54,48,58,43,54,41
"dtime.118","2004-1-5 23:00:00",47,40,45,58,44,52,47,53,43,51,41
"dtime.119","2004-1-5 24:00:00",47,36,43,51,43,47,44,51,41,47,39
"dtime.120","2004-1-6 1:00:00",47,33,43,50,42,45,42,50,41,45,37
"dtime.121","2004-1-6 2:00:00",46,35,43,50,41,44,41,48,40,44,36
"dtime.122","2004-1-6 3:00:00",45,32,41,49,40,42,39,46,37,42,35
"dtime.123","2004-1-6 4:00:00",43,33,40,47,39,41,38,45,37,41,35
"dtime.124","2004-1-6 5:00:00",41,32,38,45,37,40,37,43,35,39,34
"dtime.125","2004-1-6 6:00:00",41,32,36,45,36,39,36,40,33,38,34
"dtime.126","2004-1-6 7:00:00",39,29,35,44,35,35,37,37,36,35,34
"dtime.127","2004-1-6 8:00:00",39,32,33,42,34,36,34,33,35,34,32
"dtime.128","2004-1-6 9:00:00",40,31,34,40,35,36,35,32,33,34,32
"dtime.129","2004-1-6 10:00:00",43,32,33,42,37,37,38,39,37,37,34
"dtime.130","2004-1-6 11:00:00",45,33,38,44,39,40,41,43,38,41,34
"dtime.131","2004-1-6 12:00:00",44,34,40,45,40,41,43,45,39,42,34
"dtime.132","2004-1-6 13:00:00",45,35,39,47,41,42,45,46,42,44,34
"dtime.133","2004-1-6 14:00:00",46,33,40,48,40,43,45,46,41,44,35
"dtime.134","2004-1-6 15:00:00",46,33,40,48,41,43,44,46,41,44,35
"dtime.135","2004-1-6 16:00:00",46,33,41,48,41,44,44,47,40,44,33
"dtime.136","2004-1-6 17:00:00",45,32,40,47,40,42,41,45,38,43,31
"dtime.137","2004-1-6 18:00:00",39,28,36,44,38,39,40,43,35,40,26
"dtime.138","2004-1-6 19:00:00",39,26,37,41,35,37,37,40,33,37,25
"dtime.139","2004-1-6 20:00:00",39,24,36,40,33,35,33,38,30,34,23
"dtime.140","2004-1-6 21:00:00",38,22,32,39,31,32,30,35,28,31,20
"dtime.141","2004-1-6 22:00:00",36,21,29,37,28,30,29,33,27,30,20
"dtime.142","2004-1-6 23:00:00",32,20,28,35,27,28,27,31,26,28,19
"dtime.143","2004-1-6 24:00:00",32,19,27,33,26,27,27,29,25,27,18
"dtime.144","2004-1-7 1:00:00",30,18,25,30,24,25,25,28,24,25,18
"dtime.145","2004-1-7 2:00:00",29,18,25,29,24,25,23,26,22,25,18
"dtime.146","2004-1-7 3:00:00",28,17,23,28,23,24,23,26,22,23,17
"dtime.147","2004-1-7 4:00:00",28,17,22,27,22,23,21,22,20,22,17
"dtime.148","2004-1-7 5:00:00",28,16,22,25,22,22,21,22,20,21,15
"dtime.149","2004-1-7 6:00:00",26,15,21,24,22,22,21,21,19,21,15
"dtime.150","2004-1-7 7:00:00",26,15,20,23,20,21,20,21,19,20,15
"dtime.151","2004-1-7 8:00:00",26,15,20,22,20,20,19,19,19,19,15
"dtime.152","2004-1-7 9:00:00",26,15,20,22,20,20,20,21,19,20,13
"dtime.153","2004-1-7 10:00:00",28,16,20,25,22,23,22,24,22,23,16
"dtime.154","2004-1-7 11:00:00",28,18,22,27,23,24,25,27,24,25,18
"dtime.155","2004-1-7 12:00:00",29,20,24,29,24,27,27,29,26,27,21
"dtime.156","2004-1-7 13:00:00",29,23,25,31,25,29,28,30,27,29,24
"dtime.157","2004-1-7 14:00:00",31,24,27,33,27,31,30,33,29,31,26
"dtime.158","2004-1-7 15:00:00",31,26,27,34,27,32,32,33,31,33,28
"dtime.159","2004-1-7 16:00:00",31,26,28,35,28,33,33,34,32,34,28
"dtime.160","2004-1-7 17:00:00",31,27,28,34,28,32,33,33,32,33,27
"dtime.161","2004-1-7 18:00:00",30,26,28,32,28,32,30,30,31,32,25
"dtime.162","2004-1-7 19:00:00",30,24,26,31,26,30,27,29,29,30,24
"dtime.163","2004-1-7 20:00:00",30,23,24,30,26,29,26,28,27,29,23
"dtime.164","2004-1-7 21:00:00",29,23,24,29,25,29,25,27,25,28,23
"dtime.165","2004-1-7 22:00:00",31,22,26,28,24,28,23,26,22,28,21
"dtime.166","2004-1-7 23:00:00",30,22,22,27,24,27,22,24,23,27,20
"dtime.167","2004-1-7 24:00:00",30,22,20,27,23,27,21,22,22,26,20
"dtime.168","2004-1-8 1:00:00",29,22,21,25,23,25,21,21,24,25,19
"dtime.169","2004-1-8 2:00:00",26,22,20,26,24,26,21,25,24,26,20
"dtime.170","2004-1-8 3:00:00",24,21,20,25,23,25,20,26,22,26,19
"dtime.171","2004-1-8 4:00:00",22,21,19,22,24,26,20,25,21,26,19
"dtime.172","2004-1-8 5:00:00",22,22,18,20,24,27,21,25,23,27,19
"dtime.173","2004-1-8 6:00:00",22,21,20,23,25,25,20,25,21,26,18
"dtime.174","2004-1-8 7:00:00",24,18,19,23,26,25,20,25,20,25,18
"dtime.175","2004-1-8 8:00:00",22,18,20,19,25,25,20,19,21,24,17
"dtime.176","2004-1-8 9:00:00",25,19,19,22,25,24,21,20,21,24,18
"dtime.177","2004-1-8 10:00:00",31,22,21,29,28,28,24,29,25,28,22
"dtime.178","2004-1-8 11:00:00",35,25,28,33,30,31,29,33,29,32,25
"dtime.179","2004-1-8 12:00:00",37,27,31,35,32,34,34,35,32,35,27
"dtime.180","2004-1-8 13:00:00",37,29,31,36,31,35,34,36,34,36,31
"dtime.181","2004-1-8 14:00:00",36,30,33,38,32,35,36,37,34,36,31
"dtime.182","2004-1-8 15:00:00",36,30,33,38,33,35,37,37,35,36,32
"dtime.183","2004-1-8 16:00:00",35,31,33,38,33,35,37,38,35,36,32
"dtime.184","2004-1-8 17:00:00",35,32,33,38,32,35,36,39,35,35,33
"dtime.185","2004-1-8 18:00:00",34,32,32,37,31,34,36,37,34,33,33
"dtime.186","2004-1-8 19:00:00",35,29,31,35,31,31,34,35,33,32,29
"dtime.187","2004-1-8 20:00:00",35,28,31,35,31,30,34,31,33,30,29
"dtime.188","2004-1-8 21:00:00",37,27,29,35,30,30,30,31,31,30,29
"dtime.189","2004-1-8 22:00:00",35,27,30,32,30,30,31,30,32,30,29
"dtime.190","2004-1-8 23:00:00",35,27,30,31,30,30,30,30,31,30,29
"dtime.191","2004-1-8 24:00:00",34,27,32,30,30,30,30,30,31,30,29
"dtime.192","2004-1-9 1:00:00",33,28,31,30,31,30,30,30,31,30,29
"dtime.193","2004-1-9 2:00:00",33,28,31,31,31,30,30,30,30,30,29
"dtime.194","2004-1-9 3:00:00",32,27,31,32,31,30,30,30,31,30,27
"dtime.195","2004-1-9 4:00:00",31,27,31,32,31,30,30,30,30,30,27
"dtime.196","2004-1-9 5:00:00",31,27,31,32,31,30,30,30,30,30,27
"dtime.197","2004-1-9 6:00:00",32,26,30,32,31,30,30,30,30,30,27
"dtime.198","2004-1-9 7:00:00",31,26,29,32,29,29,30,30,30,30,27
"dtime.199","2004-1-9 8:00:00",31,26,29,32,29,30,29,30,29,30,27
"dtime.200","2004-1-9 9:00:00",31,26,30,31,28,29,29,30,29,29,27
"dtime.201","2004-1-9 10:00:00",33,27,29,31,28,30,30,30,30,30,27
"dtime.202","2004-1-9 11:00:00",31,27,30,32,30,30,30,31,30,31,27
"dtime.203","2004-1-9 12:00:00",31,28,30,32,31,32,32,33,30,32,27
"dtime.204","2004-1-9 13:00:00",33,29,30,33,31,32,31,33,30,32,28
"dtime.205","2004-1-9 14:00:00",34,30,31,33,31,32,32,33,31,33,28
"dtime.206","2004-1-9 15:00:00",33,29,31,34,31,32,30,34,30,32,28
"dtime.207","2004-1-9 16:00:00",33,29,30,34,29,32,32,32,32,32,28
