round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
10,0.00018954714307386537,0.00018845703889929194,128,10,4,4,mse,rmsprop,1
10,0.00021111888882854006,0.00017817755001969771,128,10,4,2,mse,nadam,24
10,0.00019581470272696372,0.00017238661046643645,128,10,8,3,mse,nadam,100
10,0.002592782832607219,0.0026122429514299442,128,10,4,4,mse,sgd,24
10,0.00018054037694860208,0.0001722749331206373,128,10,32,1,mse,adam,1
10,0.00017669745143105583,0.00016987317455625074,128,10,32,4,mse,adam,24
10,0.00018773099861111344,0.00017016342397682845,128,10,32,4,mse,adam,100
10,0.00018478304414281763,0.00017501736140471794,128,10,8,4,mse,adamax,1
10,0.000178083451396134,0.00017608542326879605,128,10,16,1,mse,rmsprop,100
10,0.00017818596747558828,0.000171156206816334,128,10,8,1,mse,adam,1
10,0.00017996200567718722,0.0001749518175216633,128,10,32,2,mse,adamax,100
10,0.0002080796105589774,0.0001740342985375119,128,10,32,2,mse,nadam,1
10,0.00017933252575375784,0.00017337339537437917,128,10,8,3,mse,adam,100
10,0.0001861562377100669,0.00017502346499679143,128,10,32,3,mse,nadam,1
10,0.000179828358660052,0.00018668354260986743,128,10,4,4,mse,rmsprop,24
10,0.0001801190432357202,0.00017191701388785896,128,10,16,1,mse,nadam,100
10,0.00017707061752928767,0.00017273403107696337,128,10,16,4,mse,adamax,100
10,0.00017749866744898099,0.00016863499967454006,128,10,8,4,mse,adam,100
10,0.00018884800982906045,0.00018460064444090043,128,10,4,3,mse,adamax,100
10,0.00017984270806342494,0.0001745369340274515,128,10,16,2,mse,adamax,100
10,0.00017438189210148826,0.00016951692350649353,128,10,32,4,mse,adam,1
10,0.00018263611004288127,0.00017766033731645583,128,10,8,2,mse,adam,100
10,0.00018307263484448682,0.0001765001304811749,128,10,4,2,mse,adam,1
10,0.0001858104860305078,0.0001763642145427424,128,10,32,2,mse,adamax,24
10,0.00017848380730672435,0.00017335953800769608,128,10,8,3,mse,adam,1
10,0.00018095198231546754,0.000175293189277847,128,10,16,2,mse,adam,24
10,0.00017706519497824103,0.0001698912581254243,128,10,4,3,mse,nadam,1
10,0.00019738670871512654,0.0001747407190964392,128,10,16,1,mse,rmsprop,24
10,0.00018178330687109823,0.00017290427387751944,128,10,32,2,mse,adam,100
10,0.0026011512689357147,0.002619801142406547,128,10,16,2,mse,sgd,100
10,0.00017844537829705308,0.00017259045087531568,128,10,16,1,mse,adam,1
10,0.0001783625037302927,0.00017323345171522036,128,10,8,2,mse,nadam,24
10,0.002599146338621934,0.002618428828235785,128,10,4,3,mse,sgd,100
10,0.0025731596092776463,0.0025923278640394036,128,10,4,3,mse,sgd,1
10,0.00017702044516539392,0.0001713564097990858,128,10,4,1,mse,adamax,1
10,0.00017525719571179617,0.00017335134562417132,128,10,16,3,mse,nadam,1
10,0.00018739891411393122,0.00017983919240406872,128,10,4,3,mse,adamax,1
10,0.000259549869537591,0.0001838357734621908,128,10,4,3,mse,rmsprop,24
10,0.0026595282090033975,0.00267890206604471,128,10,16,2,mse,sgd,24
10,0.00018634186595483006,0.00017795162437554715,128,10,4,2,mse,adam,100
10,0.00017695341608382886,0.0001711672132330454,128,10,32,1,mse,adam,100
10,0.000181476593717786,0.00017650858346803772,128,10,8,2,mse,rmsprop,100
10,0.00018202059001012569,0.00017552912373702484,128,10,4,3,mse,adamax,24
10,0.0001767515028777571,0.0001704287326125379,128,10,4,1,mse,adam,1
10,0.0002723682422567336,0.00019276719433650394,128,10,16,4,mse,rmsprop,1
10,0.00023740975150965868,0.00019513811980846724,128,10,16,4,mse,rmsprop,24
10,0.0002496017079676721,0.0001931547527184039,128,10,32,3,mse,rmsprop,24
