round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
10,0.0026787250945675993,0.002658712484914083,1024,10,4,1,mse,sgd,1
20,0.002672728233890101,0.002652323647345847,1024,20,4,2,mse,sgd,1
10,0.002346370894572476,0.002364607799082583,1024,10,8,2,mse,rmsprop,1
5,0.0001735307203314696,0.00017234719523991668,32,5,4,1,mse,rmsprop,24
20,0.00018732640576592705,0.00017350027177436483,32,20,8,1,mse,rmsprop,24
20,0.00017470940095591406,0.00017239435197609988,32,20,4,1,mse,adam,1
20,0.00017620355891801473,0.00017164660855186208,128,20,32,2,mse,adam,24
5,0.0028173068490898747,0.0028037863033088034,32,5,32,1,mse,sgd,1
10,0.00017205594524007822,0.00017101318833948832,32,10,4,1,mse,adam,1
5,0.0016626262731442632,0.001704781433700342,1024,5,4,1,mse,rmsprop,24
10,0.00018041689920756242,0.00018153965380770468,128,10,4,2,mse,rmsprop,168
10,0.00017482533097335986,0.00017391606092588606,32,10,16,2,mse,adam,24
20,0.0002476367100581129,0.00026673382726959073,1024,20,32,1,mse,adam,1
5,0.00307176695450898,0.0030608587870660548,32,5,4,1,mse,sgd,1
10,0.0029711199923467295,0.002954578588625765,128,10,4,1,mse,sgd,1
20,0.0010157622324679714,0.001077132388321602,1024,20,8,1,mse,adam,1
5,0.0030855197067437023,0.0031356418500396383,1024,5,4,1,mse,sgd,24
20,0.00017569148800937194,0.00017221362788509987,128,20,4,2,mse,adam,168
10,0.00023443221557623307,0.000183966353321087,32,10,32,2,mse,rmsprop,1
10,0.002397639832394086,0.0023909344389726507,32,10,16,1,mse,sgd,1
10,0.0025306597164645554,0.002512464364415026,32,10,32,2,mse,sgd,168
10,0.00017406009460260732,0.00017407857660051057,32,10,8,2,mse,adam,1
10,0.00017419803889315495,0.00017262408979833722,128,10,8,1,mse,adam,168
20,0.00018442560900047822,0.0001744466790030708,128,20,16,1,mse,rmsprop,24
5,0.00017582443085660212,0.00018169992771568746,128,5,8,2,mse,rmsprop,168
